ID;MENDIA;ALTUERA;PROBINTZIA;
 1;Aketegi;1548;Gipuzkoa;
 2;Albertia;868;Araba;
 3;Alluitz;1034;Bizkaia;
 4;Anboto;1331;Bizkaia;
 5;Aratz;1443;Araba;
 6;Arrate;556;Gipuzkoa;
 7;Hernio;1075;Gipuzkoa;
 8;Ipizte;1062;Araba;
 9;Jarindo;896;Araba;
 10;Kapildui;1177;Araba;
 11;Karakate;749;Gipuzkoa;
 12;Kurtzebarri;1133;Gipuzkoa;
 13;Lapazarra;1785;Nafarroa;
 14;Mirutegi;1166;Araba;
 15;Mugarra;964;Bizkaia;
 16;Oiz;1029;Bizkaia;
 17;Soila;993;Araba;
 18;Toloño;1263;Araba;
 19;Txamantxoia;1945;Nafarroa;